Epoch: [0][0/2]	 Loss 4.5629 (4.5629)	 Prec@1 0.000 (0.000)
Test: [0/1]	 Loss 5.2167 (5.2167)	 Prec@1 9.091 (9.091)	
Epoch: [1][0/2]	 Loss 4.2216 (4.2216)	 Prec@1 5.714 (5.714)
Test: [0/1]	 Loss 4.0684 (4.0684)	 Prec@1 4.545 (4.545)	
Epoch: [2][0/2]	 Loss 3.6915 (3.6915)	 Prec@1 5.714 (5.714)
Test: [0/1]	 Loss 3.5347 (3.5347)	 Prec@1 22.727 (22.727)	
Epoch: [3][0/2]	 Loss 3.3764 (3.3764)	 Prec@1 14.286 (14.286)
Test: [0/1]	 Loss 3.3284 (3.3284)	 Prec@1 22.727 (22.727)	
Epoch: [4][0/2]	 Loss 3.4815 (3.4815)	 Prec@1 22.857 (22.857)
Test: [0/1]	 Loss 2.9849 (2.9849)	 Prec@1 22.727 (22.727)	
Epoch: [5][0/2]	 Loss 3.3473 (3.3473)	 Prec@1 25.714 (25.714)
Test: [0/1]	 Loss 3.0572 (3.0572)	 Prec@1 13.636 (13.636)	
Epoch: [6][0/2]	 Loss 3.3641 (3.3641)	 Prec@1 14.286 (14.286)
Test: [0/1]	 Loss 2.9509 (2.9509)	 Prec@1 18.182 (18.182)	
Epoch: [7][0/2]	 Loss 3.1876 (3.1876)	 Prec@1 17.143 (17.143)
Test: [0/1]	 Loss 2.8811 (2.8811)	 Prec@1 9.091 (9.091)	
Epoch: [8][0/2]	 Loss 3.0003 (3.0003)	 Prec@1 17.143 (17.143)
Test: [0/1]	 Loss 2.9174 (2.9174)	 Prec@1 13.636 (13.636)	
Epoch: [9][0/2]	 Loss 2.9780 (2.9780)	 Prec@1 14.286 (14.286)
Test: [0/1]	 Loss 3.4542 (3.4542)	 Prec@1 9.091 (9.091)	

The best precision is 22.727272033691406%
