Epoch: [0][0/2]	 Loss 4.2938 (4.2938)	 Prec@1 0.000 (0.000)
Test: [0/1]	 Loss 3.6739 (3.6739)	 Prec@1 13.636 (13.636)	
Epoch: [1][0/2]	 Loss 3.4103 (3.4103)	 Prec@1 22.857 (22.857)
Test: [0/1]	 Loss 3.3757 (3.3757)	 Prec@1 22.727 (22.727)	
Epoch: [2][0/2]	 Loss 2.5097 (2.5097)	 Prec@1 22.857 (22.857)
Test: [0/1]	 Loss 2.9067 (2.9067)	 Prec@1 22.727 (22.727)	
Epoch: [3][0/2]	 Loss 1.6972 (1.6972)	 Prec@1 54.286 (54.286)
Test: [0/1]	 Loss 2.7379 (2.7379)	 Prec@1 18.182 (18.182)	
Epoch: [4][0/2]	 Loss 1.2415 (1.2415)	 Prec@1 77.143 (77.143)
Test: [0/1]	 Loss 2.4490 (2.4490)	 Prec@1 22.727 (22.727)	
Epoch: [5][0/2]	 Loss 0.9657 (0.9657)	 Prec@1 80.000 (80.000)
Test: [0/1]	 Loss 2.1216 (2.1216)	 Prec@1 36.364 (36.364)	
Epoch: [6][0/2]	 Loss 0.6139 (0.6139)	 Prec@1 88.571 (88.571)
Test: [0/1]	 Loss 1.8126 (1.8126)	 Prec@1 45.455 (45.455)	
Epoch: [7][0/2]	 Loss 0.4456 (0.4456)	 Prec@1 91.429 (91.429)
Test: [0/1]	 Loss 1.5655 (1.5655)	 Prec@1 54.545 (54.545)	
Epoch: [8][0/2]	 Loss 0.2699 (0.2699)	 Prec@1 97.143 (97.143)
Test: [0/1]	 Loss 1.3808 (1.3808)	 Prec@1 59.091 (59.091)	
Epoch: [9][0/2]	 Loss 0.2324 (0.2324)	 Prec@1 97.143 (97.143)
Test: [0/1]	 Loss 1.3232 (1.3232)	 Prec@1 63.636 (63.636)	

The best precision is 63.6363639831543%
