For 0, Predict: Jinx, Actual: Evelynn
For 1, Predict: Jinx, Actual: Ezreal
For 2, Predict: Jinx, Actual: Fiora
For 3, Predict: Jinx, Actual: Fizz
For 4, Predict: Jinx, Actual: Garen
For 5, Predict: Jinx, Actual: Gragas
For 6, Predict: Jinx, Actual: Graves
For 7, Predict: Jinx, Actual: Janna
For 8, Predict: Jinx, Actual: Janna
For 9, Predict: Jinx, Actual: Jarvan_IV
For 10, Predict: Jinx, Actual: Jarvan_IV
For 11, Predict: Jinx, Actual: Jax
For 12, Predict: Jinx, Actual: Jhin
For 19, Predict: Jinx, Actual: Katarina
For 20, Predict: Jinx, Actual: Kennen
For 21, Predict: Jinx, Actual: Leona
For 22, Predict: Jinx, Actual: Lee_Sin
For 23, Predict: Jinx, Actual: Lulu
For 24, Predict: Jinx, Actual: Lulu
For 26, Predict: Jinx, Actual: Lux
For 28, Predict: Jinx, Actual: Miss_Fortune
For 29, Predict: Jinx, Actual: Miss_Fortune
For 30, Predict: Jinx, Actual: Dr._Mundo
For 31, Predict: Jinx, Actual: Camille
For 32, Predict: Jinx, Actual: Corki
For 33, Predict: Jinx, Actual: Corki
For 34, Predict: Jinx, Actual: Darius
For 35, Predict: Jinx, Actual: Darius
For 36, Predict: Jinx, Actual: Darius
For 37, Predict: Jinx, Actual: Darius
For 38, Predict: Jinx, Actual: Diana
For 39, Predict: Jinx, Actual: KaiSa
For 25, Predict: Corki, Actual: Lux
For 27, Predict: Corki, Actual: Master_Yi
