For 0, Predict: Janna, Actual: Evelynn
For 1, Predict: Janna, Actual: Ezreal
For 2, Predict: Leona, Actual: Fiora
For 3, Predict: Lux, Actual: Fizz
For 4, Predict: Jinx, Actual: Garen
For 5, Predict: Janna, Actual: Gragas
For 6, Predict: Lux, Actual: Graves
For 8, Predict: Jinx, Actual: Janna
For 9, Predict: Janna, Actual: Jarvan_IV
For 10, Predict: Janna, Actual: Jarvan_IV
For 11, Predict: Jinx, Actual: Jax
For 12, Predict: Janna, Actual: Jhin
For 19, Predict: Jinx, Actual: Katarina
For 20, Predict: Jinx, Actual: Kennen
For 24, Predict: Corki, Actual: Lulu
For 26, Predict: Jinx, Actual: Lux
For 27, Predict: Lux, Actual: Master_Yi
For 28, Predict: Jinx, Actual: Miss_Fortune
For 30, Predict: Darius, Actual: Dr._Mundo
For 32, Predict: Jinx, Actual: Corki
For 38, Predict: Janna, Actual: Diana
For 39, Predict: Jinx, Actual: KaiSa
